date,state,fips,cases,deaths
2020-03-12,Alaska,02,1,0
2020-03-13,Alaska,02,1,0
2020-03-14,Alaska,02,1,0
2020-03-15,Alaska,02,1,0
2020-03-16,Alaska,02,3,0
2020-03-17,Alaska,02,6,0
2020-03-18,Alaska,02,9,0
2020-03-19,Alaska,02,12,0
2020-03-20,Alaska,02,14,0
2020-03-21,Alaska,02,21,0
2020-03-22,Alaska,02,22,0
2020-03-23,Alaska,02,36,0
2020-03-24,Alaska,02,42,0
2020-03-25,Alaska,02,59,0
2020-03-26,Alaska,02,69,0
2020-03-27,Alaska,02,85,1
2020-03-28,Alaska,02,102,1
2020-03-29,Alaska,02,114,2
2020-03-30,Alaska,02,120,2
2020-03-31,Alaska,02,133,2
2020-04-01,Alaska,02,143,2
2020-04-02,Alaska,02,146,2
2020-04-03,Alaska,02,156,2
2020-04-04,Alaska,02,169,3
2020-04-05,Alaska,02,183,4
2020-04-06,Alaska,02,189,4
2020-04-07,Alaska,02,211,4
2020-04-08,Alaska,02,224,5
2020-04-09,Alaska,02,233,5
2020-04-10,Alaska,02,244,5
2020-04-11,Alaska,02,255,6
2020-04-12,Alaska,02,270,6
2020-04-13,Alaska,02,275,6
2020-04-14,Alaska,02,283,7
2020-04-15,Alaska,02,291,7
2020-04-16,Alaska,02,298,7
2020-04-17,Alaska,02,307,7
2020-04-18,Alaska,02,312,7
2020-04-19,Alaska,02,317,7
2020-04-20,Alaska,02,319,7
2020-04-21,Alaska,02,327,7
2020-04-22,Alaska,02,333,7
2020-04-23,Alaska,02,335,7
2020-04-24,Alaska,02,337,7
2020-04-25,Alaska,02,337,7
2020-04-26,Alaska,02,339,7
2020-04-27,Alaska,02,343,7
2020-04-28,Alaska,02,349,7
2020-04-29,Alaska,02,353,7
2020-04-30,Alaska,02,353,7
2020-05-01,Alaska,02,362,7
2020-05-02,Alaska,02,363,7
2020-05-03,Alaska,02,366,7
2020-05-04,Alaska,02,368,7
2020-05-05,Alaska,02,369,7
2020-05-06,Alaska,02,370,8
2020-05-07,Alaska,02,373,8
2020-05-08,Alaska,02,376,8
2020-05-09,Alaska,02,377,8
2020-05-10,Alaska,02,378,8
2020-05-11,Alaska,02,380,8
2020-05-12,Alaska,02,383,8
2020-05-13,Alaska,02,383,8
2020-05-14,Alaska,02,387,8
2020-05-15,Alaska,02,388,8
2020-05-16,Alaska,02,392,8
2020-05-17,Alaska,02,396,8
2020-05-18,Alaska,02,399,8
2020-05-19,Alaska,02,399,8
2020-05-20,Alaska,02,402,8
2020-05-21,Alaska,02,402,8
2020-05-22,Alaska,02,404,8
2020-05-23,Alaska,02,409,8
2020-05-24,Alaska,02,409,8
2020-05-25,Alaska,02,412,8
2020-05-26,Alaska,02,416,8
2020-05-27,Alaska,02,417,8
2020-05-28,Alaska,02,430,8
2020-05-29,Alaska,02,436,8
2020-05-30,Alaska,02,441,8
2020-05-31,Alaska,02,469,8
2020-06-01,Alaska,02,476,8
2020-06-02,Alaska,02,497,8
2020-06-03,Alaska,02,516,8
2020-06-04,Alaska,02,542,8
2020-06-05,Alaska,02,565,8
2020-06-06,Alaska,02,579,8
2020-06-07,Alaska,02,588,8
2020-06-08,Alaska,02,607,8
2020-06-09,Alaska,02,620,9
2020-06-10,Alaska,02,642,9
2020-06-11,Alaska,02,666,9
2020-06-12,Alaska,02,688,10
2020-06-13,Alaska,02,722,10
2020-06-14,Alaska,02,734,10
2020-06-15,Alaska,02,738,10
2020-06-16,Alaska,02,751,10
2020-06-17,Alaska,02,776,10
2020-06-18,Alaska,02,795,10
2020-06-19,Alaska,02,821,10
2020-06-20,Alaska,02,845,10
2020-06-21,Alaska,02,859,10
2020-06-22,Alaska,02,869,10
2020-06-23,Alaska,02,905,10
2020-06-24,Alaska,02,926,10
2020-06-25,Alaska,02,971,10
2020-06-26,Alaska,02,1001,12
2020-06-27,Alaska,02,1027,12
2020-06-28,Alaska,02,1060,12
2020-06-29,Alaska,02,1085,12
2020-06-30,Alaska,02,1132,12
2020-07-01,Alaska,02,1174,12
2020-07-02,Alaska,02,1224,12
2020-07-03,Alaska,02,1284,13
2020-07-04,Alaska,02,1339,14
2020-07-05,Alaska,02,1371,14
2020-07-06,Alaska,02,1401,14
2020-07-07,Alaska,02,1423,15
2020-07-08,Alaska,02,1472,15
2020-07-09,Alaska,02,1521,15
2020-07-10,Alaska,02,1579,15
2020-07-11,Alaska,02,1656,15
2020-07-12,Alaska,02,1772,15
2020-07-13,Alaska,02,1843,15
2020-07-14,Alaska,02,1897,15
2020-07-15,Alaska,02,1958,15
2020-07-16,Alaska,02,2034,15
2020-07-17,Alaska,02,2083,15
2020-07-18,Alaska,02,2157,16
2020-07-19,Alaska,02,2275,16
2020-07-20,Alaska,02,2412,16
2020-07-21,Alaska,02,2523,16
2020-07-22,Alaska,02,2617,17
2020-07-23,Alaska,02,2682,17
2020-07-24,Alaska,02,2746,17
2020-07-25,Alaska,02,2866,18
2020-07-26,Alaska,02,3100,18
2020-07-27,Alaska,02,3204,19
2020-07-28,Alaska,02,3348,20
2020-07-29,Alaska,02,3440,20
2020-07-30,Alaska,02,3557,21
2020-07-31,Alaska,02,3675,21
2020-08-01,Alaska,02,3825,22
2020-08-02,Alaska,02,3982,22
2020-08-03,Alaska,02,4062,23
2020-08-04,Alaska,02,4123,23
2020-08-05,Alaska,02,4181,23
2020-08-06,Alaska,02,4221,23
2020-08-07,Alaska,02,4286,23
2020-08-08,Alaska,02,4371,24
2020-08-09,Alaska,02,4471,24
2020-08-10,Alaska,02,4537,24
2020-08-11,Alaska,02,4587,24
2020-08-12,Alaska,02,4653,25
2020-08-13,Alaska,02,4748,25
2020-08-14,Alaska,02,4867,25
2020-08-15,Alaska,02,4952,26
2020-08-16,Alaska,02,5058,26
2020-08-17,Alaska,02,5108,26
2020-08-18,Alaska,02,5175,27
2020-08-19,Alaska,02,5245,27
2020-08-20,Alaska,02,5330,27
2020-08-21,Alaska,02,5401,28
2020-08-22,Alaska,02,5492,29
2020-08-23,Alaska,02,5556,30
2020-08-24,Alaska,02,5626,30
2020-08-25,Alaska,02,5621,33
2020-08-26,Alaska,02,5671,34
2020-08-27,Alaska,02,5752,34
2020-08-28,Alaska,02,5874,34
2020-08-29,Alaska,02,5985,34
2020-08-30,Alaska,02,6036,34
2020-08-31,Alaska,02,6075,34
2020-09-01,Alaska,02,6109,36
2020-09-02,Alaska,02,6181,36
2020-09-03,Alaska,02,6287,37
2020-09-04,Alaska,02,6416,37
2020-09-05,Alaska,02,6514,39
2020-09-06,Alaska,02,6603,39
2020-09-07,Alaska,02,6637,39
2020-09-08,Alaska,02,6670,39
2020-09-09,Alaska,02,6735,39
2020-09-10,Alaska,02,6860,39
2020-09-11,Alaska,02,6968,40
2020-09-12,Alaska,02,7074,41
2020-09-13,Alaska,02,7136,41
2020-09-14,Alaska,02,7213,41
2020-09-15,Alaska,02,7256,41
2020-09-16,Alaska,02,7308,41
2020-09-17,Alaska,02,7413,41
2020-09-18,Alaska,02,7528,42
2020-09-19,Alaska,02,7613,42
2020-09-20,Alaska,02,7704,42
2020-09-21,Alaska,02,7775,42
2020-09-22,Alaska,02,7821,42
2020-09-23,Alaska,02,7875,42
2020-09-24,Alaska,02,8015,43
2020-09-25,Alaska,02,8133,48
2020-09-26,Alaska,02,8244,48
2020-09-27,Alaska,02,8359,52
2020-09-28,Alaska,02,8477,52
2020-09-29,Alaska,02,8602,52
2020-09-30,Alaska,02,8707,52
2020-10-01,Alaska,02,8838,53
2020-10-02,Alaska,02,8964,53
2020-10-03,Alaska,02,9111,54
2020-10-04,Alaska,02,9300,54
2020-10-05,Alaska,02,9511,54
2020-10-06,Alaska,02,9656,54
2020-10-07,Alaska,02,9784,55
2020-10-08,Alaska,02,9919,56
2020-10-09,Alaska,02,10099,56
2020-10-10,Alaska,02,10350,56
2020-10-11,Alaska,02,10608,56
2020-10-12,Alaska,02,10805,56
2020-10-13,Alaska,02,10960,56
2020-10-14,Alaska,02,11103,60
2020-10-15,Alaska,02,11268,61
2020-10-16,Alaska,02,11496,62
2020-10-17,Alaska,02,11710,63
2020-10-18,Alaska,02,11934,63
2020-10-19,Alaska,02,12138,63
2020-10-20,Alaska,02,12349,63
2020-10-21,Alaska,02,12559,64
2020-10-22,Alaska,02,12790,64
2020-10-23,Alaska,02,13067,64
2020-10-24,Alaska,02,13439,64
2020-10-25,Alaska,02,13968,64
2020-10-26,Alaska,02,14316,64
2020-10-27,Alaska,02,14699,66
2020-10-28,Alaska,02,15053,67
2020-10-29,Alaska,02,15417,72
2020-10-30,Alaska,02,15803,76
2020-10-31,Alaska,02,16247,77
2020-11-01,Alaska,02,16597,78
2020-11-02,Alaska,02,16948,79
2020-11-03,Alaska,02,17339,79
2020-11-04,Alaska,02,17750,79
2020-11-05,Alaska,02,18064,79
2020-11-06,Alaska,02,18589,79
2020-11-07,Alaska,02,19194,79
2020-11-08,Alaska,02,19712,79
2020-11-09,Alaska,02,20185,79
2020-11-10,Alaska,02,20715,87
2020-11-11,Alaska,02,21211,90
2020-11-12,Alaska,02,21689,90
2020-11-13,Alaska,02,22282,91
2020-11-14,Alaska,02,23029,92
2020-11-15,Alaska,02,23688,92
2020-11-16,Alaska,02,24268,92
2020-11-17,Alaska,02,24909,94
2020-11-18,Alaska,02,25454,94
2020-11-19,Alaska,02,25946,95
2020-11-20,Alaska,02,26403,95
2020-11-21,Alaska,02,27079,95
2020-11-22,Alaska,02,27629,97
2020-11-23,Alaska,02,28128,97
2020-11-24,Alaska,02,28708,110
2020-11-25,Alaska,02,29386,110
2020-11-26,Alaska,02,29940,113
2020-11-27,Alaska,02,30612,113
2020-11-28,Alaska,02,31279,115
