date,state,fips,cases,deaths
2020-03-10,Louisiana,22,6,0
2020-03-11,Louisiana,22,13,0
2020-03-12,Louisiana,22,14,0
2020-03-13,Louisiana,22,36,0
2020-03-14,Louisiana,22,77,1
2020-03-15,Louisiana,22,103,2
2020-03-16,Louisiana,22,137,3
2020-03-17,Louisiana,22,196,5
2020-03-18,Louisiana,22,280,7
2020-03-19,Louisiana,22,392,10
2020-03-20,Louisiana,22,537,10
2020-03-21,Louisiana,22,763,16
2020-03-22,Louisiana,22,837,20
2020-03-23,Louisiana,22,1172,34
2020-03-24,Louisiana,22,1388,46
2020-03-25,Louisiana,22,1795,65
2020-03-26,Louisiana,22,2305,83
2020-03-27,Louisiana,22,2746,119
2020-03-28,Louisiana,22,3315,137
2020-03-29,Louisiana,22,3539,153
2020-03-30,Louisiana,22,4024,186
2020-03-31,Louisiana,22,5237,240
2020-04-01,Louisiana,22,6424,275
2020-04-02,Louisiana,22,9152,310
2020-04-03,Louisiana,22,10299,370
2020-04-04,Louisiana,22,12500,412
2020-04-05,Louisiana,22,13014,477
2020-04-06,Louisiana,22,14867,512
2020-04-07,Louisiana,22,16284,582
2020-04-08,Louisiana,22,17030,652
2020-04-09,Louisiana,22,18283,702
2020-04-10,Louisiana,22,19253,755
2020-04-11,Louisiana,22,20014,806
2020-04-12,Louisiana,22,20595,840
2020-04-13,Louisiana,22,21016,884
2020-04-14,Louisiana,22,21518,1013
2020-04-15,Louisiana,22,21951,1103
2020-04-16,Louisiana,22,22532,1156
2020-04-17,Louisiana,22,23118,1213
2020-04-18,Louisiana,22,23580,1267
2020-04-19,Louisiana,22,23928,1296
2020-04-20,Louisiana,22,24523,1328
2020-04-21,Louisiana,22,24854,1405
2020-04-22,Louisiana,22,25317,1532
2020-04-23,Louisiana,22,25798,1599
2020-04-24,Louisiana,22,26199,1660
2020-04-25,Louisiana,22,26571,1703
2020-04-26,Louisiana,22,26832,1729
2020-04-27,Louisiana,22,27111,1740
2020-04-28,Louisiana,22,27329,1801
2020-04-29,Louisiana,22,27703,1845
2020-04-30,Louisiana,22,28044,1905
2020-05-01,Louisiana,22,28754,1970
2020-05-02,Louisiana,22,29183,1993
2020-05-03,Louisiana,22,29383,2012
2020-05-04,Louisiana,22,29746,2064
2020-05-05,Louisiana,22,30069,2115
2020-05-06,Louisiana,22,30472,2167
2020-05-07,Louisiana,22,30725,2208
2020-05-08,Louisiana,22,30928,2227
2020-05-09,Louisiana,22,31490,2267
2020-05-10,Louisiana,22,31673,2286
2020-05-11,Louisiana,22,31881,2308
2020-05-12,Louisiana,22,32116,2347
2020-05-13,Louisiana,22,32728,2381
2020-05-14,Louisiana,22,33555,2417
2020-05-15,Louisiana,22,33903,2448
2020-05-16,Louisiana,22,34183,2479
2020-05-17,Louisiana,22,34498,2491
2020-05-18,Louisiana,22,34832,2563
2020-05-19,Louisiana,22,35161,2581
2020-05-20,Louisiana,22,35439,2608
2020-05-21,Louisiana,22,36627,2629
2020-05-22,Louisiana,22,37048,2669
2020-05-23,Louisiana,22,37165,2683
2020-05-24,Louisiana,22,37293,2690
2020-05-25,Louisiana,22,37916,2690
2020-05-26,Louisiana,22,38252,2701
2020-05-27,Louisiana,22,38694,2722
2020-05-28,Louisiana,22,38907,2740
2020-05-29,Louisiana,22,38907,2766
2020-05-30,Louisiana,22,39682,2785
2020-05-31,Louisiana,22,40021,2791
2020-06-01,Louisiana,22,40452,2801
2020-06-02,Louisiana,22,40857,2835
2020-06-03,Louisiana,22,41244,2870
2020-06-04,Louisiana,22,41673,2883
2020-06-05,Louisiana,22,42100,2912
2020-06-06,Louisiana,22,42597,2925
2020-06-07,Louisiana,22,42927,2936
2020-06-08,Louisiana,22,43163,2944
2020-06-09,Louisiana,22,43725,2957
2020-06-10,Louisiana,22,44143,2968
2020-06-11,Louisiana,22,44585,2987
2020-06-12,Louisiana,22,45108,2996
2020-06-13,Louisiana,22,46396,3004
2020-06-14,Louisiana,22,46732,3014
2020-06-15,Louisiana,22,47284,3018
2020-06-16,Louisiana,22,47818,3042
2020-06-17,Louisiana,22,48746,3062
2020-06-18,Louisiana,22,49506,3069
2020-06-19,Louisiana,22,48627,3084
2020-06-20,Louisiana,22,49497,3104
2020-06-21,Louisiana,22,49890,3105
2020-06-22,Louisiana,22,50352,3117
2020-06-23,Louisiana,22,51708,3134
2020-06-24,Louisiana,22,52590,3152
2020-06-25,Louisiana,22,53528,3164
2020-06-26,Louisiana,22,54882,3190
2020-06-27,Louisiana,22,54882,3190
2020-06-28,Louisiana,22,56349,3199
2020-06-29,Louisiana,22,57189,3199
2020-06-30,Louisiana,22,58203,3221
2020-07-01,Louisiana,22,60286,3238
2020-07-02,Louisiana,22,61669,3255
2020-07-03,Louisiana,22,63397,3278
2020-07-04,Louisiana,22,63397,3278
2020-07-05,Louisiana,22,65334,3288
2020-07-06,Louisiana,22,66435,3296
2020-07-07,Louisiana,22,68371,3319
2020-07-08,Louisiana,22,70259,3339
2020-07-09,Louisiana,22,72102,3355
2020-07-10,Louisiana,22,74744,3380
2020-07-11,Louisiana,22,76911,3403
2020-07-12,Louisiana,22,78230,3416
2020-07-13,Louisiana,22,79935,3423
2020-07-14,Louisiana,22,82150,3445
2020-07-15,Louisiana,22,84241,3461
2020-07-16,Louisiana,22,86521,3485
2020-07-17,Louisiana,22,88700,3509
2020-07-18,Louisiana,22,88700,3509
2020-07-19,Louisiana,22,91816,3543
2020-07-20,Louisiana,22,95002,3572
2020-07-21,Louisiana,22,96693,3608
2020-07-22,Louisiana,22,99466,3670
2020-07-23,Louisiana,22,101762,3686
2020-07-24,Louisiana,22,103846,3715
2020-07-25,Louisiana,22,103846,3715
2020-07-26,Louisiana,22,107686,3763
2020-07-27,Louisiana,22,110029,3786
2020-07-28,Louisiana,22,111150,3812
2020-07-29,Louisiana,22,112887,3883
2020-07-30,Louisiana,22,114595,3925
2020-07-31,Louisiana,22,116394,3949
2020-08-01,Louisiana,22,116394,3949
2020-08-02,Louisiana,22,119861,4007
2020-08-03,Louisiana,22,120960,4024
2020-08-04,Louisiana,22,124575,4051
2020-08-05,Louisiana,22,126061,4096
2020-08-06,Louisiana,22,127364,4146
2020-08-07,Louisiana,22,128864,4207
2020-08-08,Louisiana,22,128864,4207
2020-08-09,Louisiana,22,131517,4263
2020-08-10,Louisiana,22,132079,4287
2020-08-11,Louisiana,22,133243,4313
2020-08-12,Louisiana,22,134427,4361
2020-08-13,Louisiana,22,135562,4402
2020-08-14,Louisiana,22,136860,4430
2020-08-15,Louisiana,22,136860,4430
2020-08-16,Louisiana,22,138041,4507
2020-08-17,Louisiana,22,138608,4526
2020-08-18,Louisiana,22,139248,4554
2020-08-19,Louisiana,22,140044,4609
2020-08-20,Louisiana,22,140962,4637
2020-08-21,Louisiana,22,141861,4687
2020-08-22,Louisiana,22,141861,4687
2020-08-23,Louisiana,22,143084,4746
2020-08-24,Louisiana,22,143707,4764
2020-08-25,Louisiana,22,144257,4797
2020-08-26,Louisiana,22,145661,4851
2020-08-27,Louisiana,22,146338,4874
2020-08-28,Louisiana,22,146944,4904
2020-08-29,Louisiana,22,146944,4904
2020-08-30,Louisiana,22,148568,4931
2020-08-31,Louisiana,22,148894,4950
2020-09-01,Louisiana,22,149583,4984
2020-09-02,Louisiana,22,150734,5004
2020-09-03,Louisiana,22,151547,5021
2020-09-04,Louisiana,22,152369,5035
2020-09-05,Louisiana,22,152369,5035
2020-09-06,Louisiana,22,153764,5093
2020-09-07,Louisiana,22,154073,5105
2020-09-08,Louisiana,22,154329,5118
2020-09-09,Louisiana,22,155890,5140
2020-09-10,Louisiana,22,156354,5161
2020-09-11,Louisiana,22,157109,5202
2020-09-12,Louisiana,22,157109,5202
2020-09-13,Louisiana,22,158390,5235
2020-09-14,Louisiana,22,158882,5252
2020-09-15,Louisiana,22,159253,5278
2020-09-16,Louisiana,22,159865,5294
2020-09-17,Louisiana,22,160343,5311
2020-09-18,Louisiana,22,161322,5340
2020-09-19,Louisiana,22,161322,5340
2020-09-20,Louisiana,22,162258,5366
2020-09-21,Louisiana,22,162501,5375
2020-09-22,Louisiana,22,163253,5386
2020-09-23,Louisiana,22,163869,5407
2020-09-24,Louisiana,22,164446,5423
2020-09-25,Louisiana,22,165152,5444
2020-09-26,Louisiana,22,165152,5444
2020-09-27,Louisiana,22,166075,5465
2020-09-28,Louisiana,22,166315,5480
2020-09-29,Louisiana,22,166848,5490
2020-09-30,Louisiana,22,167458,5511
2020-10-01,Louisiana,22,168009,5519
2020-10-02,Louisiana,22,168826,5545
2020-10-03,Louisiana,22,168826,5545
2020-10-04,Louisiana,22,169719,5577
2020-10-05,Louisiana,22,169937,5586
2020-10-06,Louisiana,22,170469,5592
2020-10-07,Louisiana,22,172625,5604
2020-10-08,Louisiana,22,173149,5609
2020-10-09,Louisiana,22,173406,5635
2020-10-10,Louisiana,22,173406,5635
2020-10-11,Louisiana,22,174587,5655
2020-10-12,Louisiana,22,174647,5669
2020-10-13,Louisiana,22,175329,5679
2020-10-14,Louisiana,22,176209,5695
2020-10-15,Louisiana,22,176952,5707
2020-10-16,Louisiana,22,177726,5727
2020-10-17,Louisiana,22,177726,5727
2020-10-18,Louisiana,22,178869,5750
2020-10-19,Louisiana,22,179070,5766
2020-10-20,Louisiana,22,179769,5772
2020-10-21,Louisiana,22,181132,5790
2020-10-22,Louisiana,22,181904,5799
2020-10-23,Louisiana,22,182603,5820
2020-10-24,Louisiana,22,182603,5820
2020-10-25,Louisiana,22,183575,5837
2020-10-26,Louisiana,22,183802,5854
2020-10-27,Louisiana,22,184724,5872
2020-10-28,Louisiana,22,185822,5890
2020-10-29,Louisiana,22,186216,5908
2020-10-30,Louisiana,22,186649,5919
2020-10-31,Louisiana,22,186649,5919
2020-11-01,Louisiana,22,187720,5926
2020-11-02,Louisiana,22,187995,5934
2020-11-03,Louisiana,22,189148,5951
2020-11-04,Louisiana,22,190164,5975
2020-11-05,Louisiana,22,190845,5995
2020-11-06,Louisiana,22,191715,6016
2020-11-07,Louisiana,22,191715,6016
2020-11-08,Louisiana,22,192981,6036
2020-11-09,Louisiana,22,193372,6048
2020-11-10,Louisiana,22,194702,6058
2020-11-11,Louisiana,22,194702,6058
2020-11-12,Louisiana,22,198531,6097
2020-11-13,Louisiana,22,201981,6121
2020-11-14,Louisiana,22,201981,6121
2020-11-15,Louisiana,22,204513,6132
2020-11-16,Louisiana,22,205059,6139
2020-11-17,Louisiana,22,207685,6156
2020-11-18,Louisiana,22,209914,6184
2020-11-19,Louisiana,22,211966,6199
2020-11-20,Louisiana,22,216709,6233
2020-11-21,Louisiana,22,216709,6233
2020-11-22,Louisiana,22,220192,6260
2020-11-23,Louisiana,22,221160,6284
2020-11-24,Louisiana,22,224403,6323
2020-11-25,Louisiana,22,225638,6350
2020-11-26,Louisiana,22,225638,6350
2020-11-27,Louisiana,22,230602,6391
2020-11-28,Louisiana,22,230602,6391
2020-11-29,Louisiana,22,232245,6407
2020-11-30,Louisiana,22,232414,6420
2020-12-01,Louisiana,22,237740,6455
2020-12-02,Louisiana,22,241335,6501
