date,state,fips,cases,deaths
2020-03-06,Maryland,24,3,0
2020-03-07,Maryland,24,3,0
2020-03-08,Maryland,24,5,0
2020-03-09,Maryland,24,6,0
2020-03-10,Maryland,24,9,0
2020-03-11,Maryland,24,13,0
2020-03-12,Maryland,24,13,0
2020-03-13,Maryland,24,18,0
2020-03-14,Maryland,24,27,0
2020-03-15,Maryland,24,32,0
2020-03-16,Maryland,24,39,0
2020-03-17,Maryland,24,57,0
2020-03-18,Maryland,24,85,1
2020-03-19,Maryland,24,108,1
2020-03-20,Maryland,24,150,2
2020-03-21,Maryland,24,195,3
2020-03-22,Maryland,24,245,3
2020-03-23,Maryland,24,290,3
2020-03-24,Maryland,24,349,4
2020-03-25,Maryland,24,423,4
2020-03-26,Maryland,24,581,4
2020-03-27,Maryland,24,790,5
2020-03-28,Maryland,24,1066,10
2020-03-29,Maryland,24,1244,11
2020-03-30,Maryland,24,1415,15
2020-03-31,Maryland,24,1662,18
2020-04-01,Maryland,24,1985,33
2020-04-02,Maryland,24,2331,36
2020-04-03,Maryland,24,2758,42
2020-04-04,Maryland,24,3125,54
2020-04-05,Maryland,24,3609,68
2020-04-06,Maryland,24,4045,92
2020-04-07,Maryland,24,4371,104
2020-04-08,Maryland,24,5529,124
2020-04-09,Maryland,24,6185,139
2020-04-10,Maryland,24,6968,172
2020-04-11,Maryland,24,7694,207
2020-04-12,Maryland,24,8225,236
2020-04-13,Maryland,24,8936,262
2020-04-14,Maryland,24,9472,302
2020-04-15,Maryland,24,10096,413
2020-04-16,Maryland,24,10851,459
2020-04-17,Maryland,24,11641,494
2020-04-18,Maryland,24,12379,534
2020-04-19,Maryland,24,12892,548
2020-04-20,Maryland,24,13750,582
2020-04-21,Maryland,24,14261,652
2020-04-22,Maryland,24,14842,698
2020-04-23,Maryland,24,15805,748
2020-04-24,Maryland,24,16693,798
2020-04-25,Maryland,24,17844,875
2020-04-26,Maryland,24,18664,910
2020-04-27,Maryland,24,19574,945
2020-04-28,Maryland,24,20200,1016
2020-04-29,Maryland,24,20942,1078
2020-04-30,Maryland,24,21825,1139
2020-05-01,Maryland,24,23566,1192
2020-05-02,Maryland,24,24568,1251
2020-05-03,Maryland,24,25561,1281
2020-05-04,Maryland,24,26509,1317
2020-05-05,Maryland,24,27217,1390
2020-05-06,Maryland,24,28263,1443
2020-05-07,Maryland,24,29476,1503
2020-05-08,Maryland,24,30592,1560
2020-05-09,Maryland,24,31638,1614
2020-05-10,Maryland,24,32693,1644
2020-05-11,Maryland,24,33483,1683
2020-05-12,Maryland,24,34174,1756
2020-05-13,Maryland,24,34927,1809
2020-05-14,Maryland,24,36021,1866
2020-05-15,Maryland,24,37105,1911
2020-05-16,Maryland,24,38083,1957
2020-05-17,Maryland,24,38920,1992
2020-05-18,Maryland,24,39882,2023
2020-05-19,Maryland,24,41664,2081
2020-05-20,Maryland,24,42442,2123
2020-05-21,Maryland,24,43645,2159
2020-05-22,Maryland,24,44539,2207
2020-05-23,Maryland,24,45608,2243
2020-05-24,Maryland,24,46919,2277
2020-05-25,Maryland,24,47754,2302
2020-05-26,Maryland,24,48290,2333
2020-05-27,Maryland,24,49042,2392
2020-05-28,Maryland,24,50334,2428
2020-05-29,Maryland,24,51631,2466
2020-05-30,Maryland,24,52662,2509
2020-05-31,Maryland,24,53456,2532
2020-06-01,Maryland,24,54035,2552
2020-06-02,Maryland,24,54831,2597
2020-06-03,Maryland,24,55617,2641
2020-06-04,Maryland,24,56490,2668
2020-06-05,Maryland,24,57407,2702
2020-06-06,Maryland,24,58099,2740
2020-06-07,Maryland,24,58593,2749
2020-06-08,Maryland,24,59024,2776
2020-06-09,Maryland,24,59543,2811
2020-06-10,Maryland,24,60114,2844
2020-06-11,Maryland,24,60823,2875
2020-06-12,Maryland,24,61262,2900
2020-06-13,Maryland,24,61935,2926
2020-06-14,Maryland,24,62328,2939
2020-06-15,Maryland,24,62653,2947
2020-06-16,Maryland,24,63004,2982
2020-06-17,Maryland,24,63565,2996
2020-06-18,Maryland,24,63839,3016
2020-06-19,Maryland,24,64150,3030
2020-06-20,Maryland,24,64565,3052
2020-06-21,Maryland,24,64903,3066
2020-06-22,Maryland,24,65202,3074
2020-06-23,Maryland,24,65602,3092
2020-06-24,Maryland,24,65934,3108
2020-06-25,Maryland,24,66397,3129
2020-06-26,Maryland,24,66704,3142
2020-06-27,Maryland,24,67032,3157
2020-06-28,Maryland,24,67360,3168
2020-06-29,Maryland,24,67837,3175
2020-06-30,Maryland,24,68152,3190
2020-07-01,Maryland,24,68502,3205
2020-07-02,Maryland,24,69015,3212
2020-07-03,Maryland,24,69422,3223
2020-07-04,Maryland,24,69724,3236
2020-07-05,Maryland,24,69957,3243
2020-07-06,Maryland,24,70497,3246
2020-07-07,Maryland,24,70986,3266
2020-07-08,Maryland,24,71455,3275
2020-07-09,Maryland,24,72037,3288
2020-07-10,Maryland,24,72503,3303
2020-07-11,Maryland,24,73060,3310
2020-07-12,Maryland,24,73705,3319
2020-07-13,Maryland,24,74124,3325
2020-07-14,Maryland,24,74836,3334
2020-07-15,Maryland,24,75576,3341
2020-07-16,Maryland,24,76237,3347
2020-07-17,Maryland,24,76941,3359
2020-07-18,Maryland,24,77773,3368
2020-07-19,Maryland,24,78698,3377
2020-07-20,Maryland,24,79251,3382
2020-07-21,Maryland,24,80111,3402
2020-07-22,Maryland,24,80738,3405
2020-07-23,Maryland,24,81396,3409
2020-07-24,Maryland,24,82326,3422
2020-07-25,Maryland,24,83617,3433
2020-07-26,Maryland,24,84306,3440
2020-07-27,Maryland,24,85436,3447
2020-07-28,Maryland,24,86091,3458
2020-07-29,Maryland,24,86846,3478
2020-07-30,Maryland,24,87740,3488
2020-07-31,Maryland,24,88907,3493
2020-08-01,Maryland,24,89925,3506
2020-08-02,Maryland,24,90835,3515
2020-08-03,Maryland,24,91705,3523
2020-08-04,Maryland,24,92416,3530
2020-08-05,Maryland,24,93000,3536
2020-08-06,Maryland,24,93598,3551
2020-08-07,Maryland,24,94395,3565
2020-08-08,Maryland,24,95157,3577
2020-08-09,Maryland,24,96065,3585
2020-08-10,Maryland,24,96821,3591
2020-08-11,Maryland,24,97403,3604
2020-08-12,Maryland,24,97959,3612
2020-08-13,Maryland,24,98728,3620
2020-08-14,Maryland,24,99430,3631
2020-08-15,Maryland,24,100237,3636
2020-08-16,Maryland,24,100772,3639
2020-08-17,Maryland,24,101276,3641
2020-08-18,Maryland,24,101780,3650
2020-08-19,Maryland,24,102215,3661
2020-08-20,Maryland,24,102783,3669
2020-08-21,Maryland,24,103461,3674
2020-08-22,Maryland,24,104040,3685
2020-08-23,Maryland,24,104618,3691
2020-08-24,Maryland,24,105168,3694
2020-08-25,Maryland,24,105554,3707
2020-08-26,Maryland,24,105996,3717
2020-08-27,Maryland,24,106558,3722
2020-08-28,Maryland,24,107146,3736
2020-08-29,Maryland,24,107790,3746
2020-08-30,Maryland,24,108286,3752
2020-08-31,Maryland,24,108742,3755
2020-09-01,Maryland,24,109353,3761
2020-09-02,Maryland,24,109808,3766
2020-09-03,Maryland,24,110504,3778
2020-09-04,Maryland,24,111332,3789
2020-09-05,Maryland,24,112104,3796
2020-09-06,Maryland,24,112557,3799
2020-09-07,Maryland,24,113378,3804
2020-09-08,Maryland,24,113734,3807
2020-09-09,Maryland,24,114070,3816
2020-09-10,Maryland,24,114574,3824
2020-09-11,Maryland,24,115217,3828
2020-09-12,Maryland,24,115876,3836
2020-09-13,Maryland,24,116600,3838
2020-09-14,Maryland,24,117147,3839
2020-09-15,Maryland,24,117745,3849
2020-09-16,Maryland,24,118387,3855
2020-09-17,Maryland,24,119017,3861
2020-09-18,Maryland,24,119559,3869
2020-09-19,Maryland,24,120107,3876
2020-09-20,Maryland,24,120656,3879
2020-09-21,Maryland,24,121068,3883
2020-09-22,Maryland,24,121409,3895
2020-09-23,Maryland,24,121793,3902
2020-09-24,Maryland,24,122293,3909
2020-09-25,Maryland,24,122850,3917
2020-09-26,Maryland,24,123328,3925
2020-09-27,Maryland,24,123895,3935
2020-09-28,Maryland,24,124371,3938
2020-09-29,Maryland,24,124805,3946
2020-09-30,Maryland,24,125217,3949
2020-10-01,Maryland,24,125997,3949
2020-10-02,Maryland,24,126711,3950
2020-10-03,Maryland,24,127194,3957
2020-10-04,Maryland,24,127785,3958
2020-10-05,Maryland,24,128277,3961
2020-10-06,Maryland,24,128691,3967
2020-10-07,Maryland,24,129158,3973
2020-10-08,Maryland,24,129919,3979
2020-10-09,Maryland,24,130652,3990
2020-10-10,Maryland,24,131169,3995
2020-10-11,Maryland,24,131853,3999
2020-10-12,Maryland,24,132357,4003
2020-10-13,Maryland,24,132839,4012
2020-10-14,Maryland,24,133413,4022
