date,state,fips,cases,deaths
2020-03-11,Michigan,26,2,0
2020-03-12,Michigan,26,12,0
2020-03-13,Michigan,26,25,0
2020-03-14,Michigan,26,33,0
2020-03-15,Michigan,26,53,0
2020-03-16,Michigan,26,54,0
2020-03-17,Michigan,26,65,0
2020-03-18,Michigan,26,80,1
2020-03-19,Michigan,26,334,3
2020-03-20,Michigan,26,548,4
2020-03-21,Michigan,26,787,6
2020-03-22,Michigan,26,1033,9
2020-03-23,Michigan,26,1324,16
2020-03-24,Michigan,26,1791,24
2020-03-25,Michigan,26,2293,43
2020-03-26,Michigan,26,2877,63
2020-03-27,Michigan,26,3655,93
2020-03-28,Michigan,26,4634,112
2020-03-29,Michigan,26,5486,132
2020-03-30,Michigan,26,6508,197
2020-03-31,Michigan,26,7629,264
2020-04-01,Michigan,26,9292,336
2020-04-02,Michigan,26,10791,417
2020-04-03,Michigan,26,12669,478
2020-04-04,Michigan,26,14225,541
2020-04-05,Michigan,26,15633,617
2020-04-06,Michigan,26,17129,727
2020-04-07,Michigan,26,18851,845
2020-04-08,Michigan,26,20220,959
2020-04-09,Michigan,26,21375,1076
2020-04-10,Michigan,26,22646,1280
2020-04-11,Michigan,26,23855,1395
2020-04-12,Michigan,26,24496,1488
2020-04-13,Michigan,26,25490,1603
2020-04-14,Michigan,26,26845,1767
2020-04-15,Michigan,26,27894,1920
2020-04-16,Michigan,26,29120,2092
2020-04-17,Michigan,26,29954,2227
2020-04-18,Michigan,26,30718,2307
2020-04-19,Michigan,26,31349,2389
2020-04-20,Michigan,26,31929,2466
2020-04-21,Michigan,26,32936,2698
2020-04-22,Michigan,26,33973,2813
2020-04-23,Michigan,26,35253,2977
2020-04-24,Michigan,26,36628,3084
2020-04-25,Michigan,26,37302,3273
2020-04-26,Michigan,26,38003,3314
2020-04-27,Michigan,26,38457,3406
2020-04-28,Michigan,26,39469,3566
2020-04-29,Michigan,26,40443,3670
2020-04-30,Michigan,26,41348,3788
2020-05-01,Michigan,26,42348,3866
2020-05-02,Michigan,26,43191,4020
2020-05-03,Michigan,26,43803,4049
2020-05-04,Michigan,26,43996,4135
2020-05-05,Michigan,26,44391,4179
2020-05-06,Michigan,26,45079,4250
2020-05-07,Michigan,26,45643,4343
2020-05-08,Michigan,26,46319,4393
2020-05-09,Michigan,26,46735,4526
2020-05-10,Michigan,26,47116,4551
2020-05-11,Michigan,26,47526,4584
2020-05-12,Michigan,26,47946,4674
2020-05-13,Michigan,26,48307,4714
2020-05-14,Michigan,26,49489,4787
2020-05-15,Michigan,26,49982,4825
2020-05-16,Michigan,26,50416,4880
2020-05-17,Michigan,26,51054,4891
2020-05-18,Michigan,26,51853,4915
2020-05-19,Michigan,26,52337,5017
2020-05-20,Michigan,26,52988,5060
2020-05-21,Michigan,26,53468,5129
2020-05-22,Michigan,26,53865,5158
2020-05-23,Michigan,26,54304,5223
2020-05-24,Michigan,26,54616,5228
2020-05-25,Michigan,26,54816,5240
2020-05-26,Michigan,26,55040,5266
2020-05-27,Michigan,26,55544,5334
2020-05-28,Michigan,26,55944,5372
2020-05-29,Michigan,26,56589,5406
2020-05-30,Michigan,26,56848,5463
2020-05-31,Michigan,26,57355,5491
2020-06-01,Michigan,26,58435,5525
2020-06-02,Michigan,26,58680,5562
2020-06-03,Michigan,26,58990,5579
2020-06-04,Michigan,26,59215,5604
2020-06-05,Michigan,26,63744,5854
2020-06-06,Michigan,26,64196,5894
2020-06-07,Michigan,26,64615,5898
2020-06-08,Michigan,26,64911,5916
2020-06-09,Michigan,26,65190,5946
2020-06-10,Michigan,26,65377,5958
2020-06-11,Michigan,26,65627,5985
2020-06-12,Michigan,26,65881,5994
2020-06-13,Michigan,26,66024,6017
2020-06-14,Michigan,26,66246,6020
2020-06-15,Michigan,26,66302,6025
2020-06-16,Michigan,26,66466,6039
2020-06-17,Michigan,26,66694,6041
2020-06-18,Michigan,26,66980,6064
2020-06-19,Michigan,26,67300,6071
2020-06-20,Michigan,26,67721,6091
2020-06-21,Michigan,26,67873,6094
2020-06-22,Michigan,26,68144,6101
2020-06-23,Michigan,26,68373,6113
2020-06-24,Michigan,26,68711,6118
2020-06-25,Michigan,26,69159,6137
2020-06-26,Michigan,26,69473,6138
2020-06-27,Michigan,26,69802,6157
2020-06-28,Michigan,26,70042,6161
2020-06-29,Michigan,26,70356,6165
2020-06-30,Michigan,26,70850,6197
2020-07-01,Michigan,26,71279,6202
2020-07-02,Michigan,26,71853,6216
2020-07-03,Michigan,26,72306,6219
2020-07-04,Michigan,26,72702,6222
2020-07-05,Michigan,26,73027,6222
2020-07-06,Michigan,26,73403,6225
2020-07-07,Michigan,26,74011,6256
2020-07-08,Michigan,26,74660,6266
2020-07-09,Michigan,26,75247,6275
2020-07-10,Michigan,26,75871,6288
2020-07-11,Michigan,26,76499,6316
2020-07-12,Michigan,26,76936,6317
2020-07-13,Michigan,26,77354,6324
2020-07-14,Michigan,26,78045,6330
2020-07-15,Michigan,26,79081,6333
2020-07-16,Michigan,26,79977,6351
2020-07-17,Michigan,26,80752,6358
2020-07-18,Michigan,26,81384,6367
2020-07-19,Michigan,26,81935,6369
2020-07-20,Michigan,26,82486,6377
2020-07-21,Michigan,26,83184,6385
2020-07-22,Michigan,26,83891,6391
2020-07-23,Michigan,26,84585,6397
2020-07-24,Michigan,26,85238,6402
2020-07-25,Michigan,26,85665,6402
2020-07-26,Michigan,26,86750,6402
2020-07-27,Michigan,26,87329,6407
2020-07-28,Michigan,26,88025,6426
2020-07-29,Michigan,26,89026,6426
2020-07-30,Michigan,26,89926,6446
2020-07-31,Michigan,26,90752,6453
2020-08-01,Michigan,26,91450,6460
2020-08-02,Michigan,26,91857,6460
2020-08-03,Michigan,26,92503,6470
2020-08-04,Michigan,26,93293,6474
2020-08-05,Michigan,26,94045,6480
2020-08-06,Michigan,26,94819,6508
2020-08-07,Michigan,26,95632,6527
2020-08-08,Michigan,26,96328,6521
2020-08-09,Michigan,26,96835,6520
2020-08-10,Michigan,26,97472,6527
2020-08-11,Michigan,26,98361,6534
2020-08-12,Michigan,26,98825,6541
2020-08-13,Michigan,26,99963,6556
2020-08-14,Michigan,26,100813,6567
2020-08-15,Michigan,26,101831,6586
2020-08-16,Michigan,26,102323,6592
2020-08-17,Michigan,26,102872,6592
2020-08-18,Michigan,26,103527,6607
2020-08-19,Michigan,26,104235,6619
2020-08-20,Michigan,26,104771,6636
2020-08-21,Michigan,26,104829,6637
2020-08-22,Michigan,26,106141,6657
2020-08-23,Michigan,26,106875,6661
2020-08-24,Michigan,26,107816,6665
2020-08-25,Michigan,26,108742,6687
2020-08-26,Michigan,26,109645,6692
2020-08-27,Michigan,26,110491,6708
2020-08-28,Michigan,26,111303,6714
2020-08-29,Michigan,26,112104,6747
2020-08-30,Michigan,26,112598,6750
2020-08-31,Michigan,26,113163,6756
2020-09-01,Michigan,26,113969,6770
2020-09-02,Michigan,26,114603,6783
2020-09-03,Michigan,26,115393,6794
2020-09-04,Michigan,26,116470,6802
2020-09-05,Michigan,26,117267,6809
2020-09-06,Michigan,26,117310,6809
2020-09-07,Michigan,26,118388,6813
2020-09-08,Michigan,26,118984,6814
2020-09-09,Michigan,26,119952,6889
2020-09-10,Michigan,26,120896,6894
2020-09-11,Michigan,26,122319,6900
2020-09-12,Michigan,26,123048,6912
2020-09-13,Michigan,26,123075,6912
2020-09-14,Michigan,26,124276,6922
2020-09-15,Michigan,26,124978,6933
2020-09-16,Michigan,26,125782,6944
2020-09-17,Michigan,26,126794,6956
2020-09-18,Michigan,26,127558,6955
2020-09-19,Michigan,26,128112,6970
2020-09-20,Michigan,26,128148,6971
2020-09-21,Michigan,26,129655,6982
2020-09-22,Michigan,26,130406,6998
