date,state,fips,cases,deaths
2020-03-12,New Mexico,35,6,0
2020-03-13,New Mexico,35,10,0
2020-03-14,New Mexico,35,13,0
2020-03-15,New Mexico,35,17,0
2020-03-16,New Mexico,35,21,0
2020-03-17,New Mexico,35,23,0
2020-03-18,New Mexico,35,28,0
2020-03-19,New Mexico,35,35,0
2020-03-20,New Mexico,35,43,0
2020-03-21,New Mexico,35,57,0
2020-03-22,New Mexico,35,65,0
2020-03-23,New Mexico,35,83,0
2020-03-24,New Mexico,35,100,0
2020-03-25,New Mexico,35,113,1
2020-03-26,New Mexico,35,136,1
2020-03-27,New Mexico,35,191,1
2020-03-28,New Mexico,35,210,2
2020-03-29,New Mexico,35,237,2
2020-03-30,New Mexico,35,282,4
2020-03-31,New Mexico,35,315,5
2020-04-01,New Mexico,35,363,6
2020-04-02,New Mexico,35,403,7
2020-04-03,New Mexico,35,495,10
2020-04-04,New Mexico,35,544,11
2020-04-05,New Mexico,35,624,12
2020-04-06,New Mexico,35,686,12
2020-04-07,New Mexico,35,794,13
2020-04-08,New Mexico,35,865,16
2020-04-09,New Mexico,35,989,17
2020-04-10,New Mexico,35,1090,19
2020-04-11,New Mexico,35,1174,20
2020-04-12,New Mexico,35,1245,26
2020-04-13,New Mexico,35,1345,31
2020-04-14,New Mexico,35,1407,36
2020-04-15,New Mexico,35,1484,36
2020-04-16,New Mexico,35,1597,44
2020-04-17,New Mexico,35,1711,51
2020-04-18,New Mexico,35,1798,53
2020-04-19,New Mexico,35,1845,55
2020-04-20,New Mexico,35,1971,58
2020-04-21,New Mexico,35,2072,65
2020-04-22,New Mexico,35,2210,71
2020-04-23,New Mexico,35,2379,78
2020-04-24,New Mexico,35,2524,84
2020-04-25,New Mexico,35,2662,93
2020-04-26,New Mexico,35,2728,99
2020-04-27,New Mexico,35,2825,104
2020-04-28,New Mexico,35,2975,110
2020-04-29,New Mexico,35,3213,112
2020-04-30,New Mexico,35,3411,123
2020-05-01,New Mexico,35,3513,131
2020-05-02,New Mexico,35,3732,139
2020-05-03,New Mexico,35,3850,151
2020-05-04,New Mexico,35,4030,156
2020-05-05,New Mexico,35,4137,162
2020-05-06,New Mexico,35,4290,169
2020-05-07,New Mexico,35,4492,172
2020-05-08,New Mexico,35,4673,181
2020-05-09,New Mexico,35,4778,191
2020-05-10,New Mexico,35,4863,200
2020-05-11,New Mexico,35,5069,208
2020-05-12,New Mexico,35,5212,219
2020-05-13,New Mexico,35,5364,231
2020-05-14,New Mexico,35,5503,242
2020-05-15,New Mexico,35,5662,253
2020-05-16,New Mexico,35,5847,259
2020-05-17,New Mexico,35,5938,265
2020-05-18,New Mexico,35,6096,270
2020-05-19,New Mexico,35,6192,276
2020-05-20,New Mexico,35,6338,283
2020-05-21,New Mexico,35,6472,294
2020-05-22,New Mexico,35,6625,302
2020-05-23,New Mexico,35,6795,308
2020-05-24,New Mexico,35,6943,317
2020-05-25,New Mexico,35,7026,320
2020-05-26,New Mexico,35,7130,325
2020-05-27,New Mexico,35,7252,329
2020-05-28,New Mexico,35,7364,335
2020-05-29,New Mexico,35,7493,344
2020-05-30,New Mexico,35,7624,351
2020-05-31,New Mexico,35,7689,356
2020-06-01,New Mexico,35,7800,362
2020-06-02,New Mexico,35,8024,367
2020-06-03,New Mexico,35,8140,375
2020-06-04,New Mexico,35,8353,383
2020-06-05,New Mexico,35,8672,387
2020-06-06,New Mexico,35,8800,392
2020-06-07,New Mexico,35,8940,396
2020-06-08,New Mexico,35,9062,400
2020-06-09,New Mexico,35,9105,404
2020-06-10,New Mexico,35,9250,410
2020-06-11,New Mexico,35,9368,421
2020-06-12,New Mexico,35,9526,426
2020-06-13,New Mexico,35,9621,431
2020-06-14,New Mexico,35,9723,435
2020-06-15,New Mexico,35,9845,440
2020-06-16,New Mexico,35,9933,447
2020-06-17,New Mexico,35,10065,452
2020-06-18,New Mexico,35,10153,456
2020-06-19,New Mexico,35,10260,464
2020-06-20,New Mexico,35,10430,466
