date,state,fips,cases,deaths
2020-03-10,Ohio,39,3,0
2020-03-11,Ohio,39,4,0
2020-03-12,Ohio,39,5,0
2020-03-13,Ohio,39,13,0
2020-03-14,Ohio,39,26,0
2020-03-15,Ohio,39,37,0
2020-03-16,Ohio,39,50,0
2020-03-17,Ohio,39,67,0
2020-03-18,Ohio,39,90,0
2020-03-19,Ohio,39,120,0
2020-03-20,Ohio,39,169,1
2020-03-21,Ohio,39,247,3
2020-03-22,Ohio,39,351,3
2020-03-23,Ohio,39,444,6
2020-03-24,Ohio,39,564,8
2020-03-25,Ohio,39,707,11
2020-03-26,Ohio,39,867,15
2020-03-27,Ohio,39,1144,22
2020-03-28,Ohio,39,1406,25
2020-03-29,Ohio,39,1665,30
2020-03-30,Ohio,39,1933,40
2020-03-31,Ohio,39,2199,55
2020-04-01,Ohio,39,2548,65
2020-04-02,Ohio,39,2903,81
2020-04-03,Ohio,39,3312,91
2020-04-04,Ohio,39,3739,102
2020-04-05,Ohio,39,4043,119
2020-04-06,Ohio,39,4450,142
2020-04-07,Ohio,39,4783,167
2020-04-08,Ohio,39,5149,193
2020-04-09,Ohio,39,5513,213
2020-04-10,Ohio,39,5879,231
2020-04-11,Ohio,39,6251,247
2020-04-12,Ohio,39,6605,253
2020-04-13,Ohio,39,6975,274
2020-04-14,Ohio,39,7280,324
2020-04-15,Ohio,39,7791,361
2020-04-16,Ohio,39,8414,389
2020-04-17,Ohio,39,9107,418
2020-04-18,Ohio,39,10222,451
2020-04-19,Ohio,39,11602,471
2020-04-20,Ohio,39,12919,509
2020-04-21,Ohio,39,13725,557
2020-04-22,Ohio,39,14117,610
2020-04-23,Ohio,39,14694,656
2020-04-24,Ohio,39,15169,690
2020-04-25,Ohio,39,15587,711
2020-04-26,Ohio,39,15963,728
2020-04-27,Ohio,39,16325,753
2020-04-28,Ohio,39,16769,799
2020-04-29,Ohio,39,17303,937
2020-04-30,Ohio,39,18027,975
2020-05-01,Ohio,39,18743,1002
2020-05-02,Ohio,39,19335,1021
2020-05-03,Ohio,39,19914,1038
2020-05-04,Ohio,39,20474,1056
2020-05-05,Ohio,39,20969,1135
2020-05-06,Ohio,39,21576,1225
2020-05-07,Ohio,39,22131,1271
2020-05-08,Ohio,39,23018,1306
2020-05-09,Ohio,39,23697,1331
2020-05-10,Ohio,39,24086,1341
2020-05-11,Ohio,39,24785,1357
2020-05-12,Ohio,39,25257,1436
2020-05-13,Ohio,39,25727,1483
2020-05-14,Ohio,39,26363,1534
2020-05-15,Ohio,39,26956,1581
2020-05-16,Ohio,39,27476,1610
2020-05-17,Ohio,39,27925,1625
2020-05-18,Ohio,39,28455,1657
2020-05-19,Ohio,39,28953,1720
2020-05-20,Ohio,39,29437,1781
2020-05-21,Ohio,39,30168,1836
2020-05-22,Ohio,39,30795,1872
2020-05-23,Ohio,39,31408,1956
2020-05-24,Ohio,39,31911,1969
2020-05-25,Ohio,39,32477,1987
2020-05-26,Ohio,39,33006,2002
2020-05-27,Ohio,39,33439,2044
2020-05-28,Ohio,39,33915,2098
2020-05-29,Ohio,39,34566,2131
2020-05-30,Ohio,39,35034,2149
2020-05-31,Ohio,39,35513,2155
2020-06-01,Ohio,39,35984,2206
2020-06-02,Ohio,39,36350,2258
2020-06-03,Ohio,39,36792,2299
2020-06-04,Ohio,39,37282,2339
2020-06-05,Ohio,39,37758,2355
2020-06-06,Ohio,39,38111,2370
2020-06-07,Ohio,39,38476,2377
2020-06-08,Ohio,39,38837,2404
2020-06-09,Ohio,39,39162,2421
2020-06-10,Ohio,39,39575,2457
2020-06-11,Ohio,39,40004,2490
2020-06-12,Ohio,39,40424,2508
2020-06-13,Ohio,39,40848,2554
2020-06-14,Ohio,39,41148,2557
2020-06-15,Ohio,39,41576,2573
2020-06-16,Ohio,39,42010,2597
2020-06-17,Ohio,39,42422,2611
2020-06-18,Ohio,39,43122,2633
2020-06-19,Ohio,39,43731,2667
2020-06-20,Ohio,39,44262,2697
2020-06-21,Ohio,39,44808,2700
2020-06-22,Ohio,39,45537,2704
2020-06-23,Ohio,39,46127,2735
2020-06-24,Ohio,39,46759,2755
2020-06-25,Ohio,39,47651,2772
2020-06-26,Ohio,39,48638,2788
2020-06-27,Ohio,39,49455,2804
2020-06-28,Ohio,39,50309,2807
2020-06-29,Ohio,39,51046,2818
2020-06-30,Ohio,39,51789,2863
2020-07-01,Ohio,39,52865,2876
2020-07-02,Ohio,39,54166,2903
2020-07-03,Ohio,39,55257,2903
2020-07-04,Ohio,39,56183,2907
2020-07-05,Ohio,39,57151,2911
2020-07-06,Ohio,39,57956,2927
2020-07-07,Ohio,39,58904,2970
2020-07-08,Ohio,39,60181,2991
2020-07-09,Ohio,39,61331,3006
2020-07-10,Ohio,39,62856,3032
2020-07-11,Ohio,39,64214,3036
2020-07-12,Ohio,39,65592,3058
2020-07-13,Ohio,39,66853,3064
2020-07-14,Ohio,39,67995,3069
2020-07-15,Ohio,39,69311,3075
2020-07-16,Ohio,39,70601,3103
2020-07-17,Ohio,39,72280,3112
2020-07-18,Ohio,39,73822,3132
2020-07-19,Ohio,39,74932,3174
2020-07-20,Ohio,39,76168,3189
2020-07-21,Ohio,39,77215,3219
2020-07-22,Ohio,39,78742,3235
2020-07-23,Ohio,39,80186,3256
2020-07-24,Ohio,39,81746,3297
2020-07-25,Ohio,39,83184,3297
2020-07-26,Ohio,39,84073,3307
2020-07-27,Ohio,39,85177,3344
2020-07-28,Ohio,39,86497,3382
2020-07-29,Ohio,39,87893,3422
2020-07-30,Ohio,39,89626,3442
2020-07-31,Ohio,39,91159,3489
2020-08-01,Ohio,39,92087,3515
2020-08-02,Ohio,39,93031,3529
2020-08-03,Ohio,39,93963,3539
2020-08-04,Ohio,39,95106,3570
2020-08-05,Ohio,39,96305,3596
2020-08-06,Ohio,39,97471,3618
2020-08-07,Ohio,39,98675,3652
2020-08-08,Ohio,39,99969,3668
2020-08-09,Ohio,39,100848,3669
2020-08-10,Ohio,39,101731,3673
2020-08-11,Ohio,39,102826,3708
2020-08-12,Ohio,39,104248,3734
2020-08-13,Ohio,39,105426,3755
2020-08-14,Ohio,39,106557,3784
2020-08-15,Ohio,39,107674,3824
2020-08-16,Ohio,39,108287,3826
2020-08-17,Ohio,39,109062,3832
2020-08-18,Ohio,39,109923,3871
2020-08-19,Ohio,39,110881,3907
2020-08-20,Ohio,39,112003,3929
2020-08-21,Ohio,39,113046,3955
2020-08-22,Ohio,39,114165,3975
2020-08-23,Ohio,39,114802,3978
2020-08-24,Ohio,39,115651,3986
2020-08-25,Ohio,39,116495,3996
2020-08-26,Ohio,39,117584,4044
2020-08-27,Ohio,39,118828,4076
2020-08-28,Ohio,39,120124,4105
2020-08-29,Ohio,39,121340,4126
2020-08-30,Ohio,39,122262,4128
2020-08-31,Ohio,39,123157,4138
2020-09-01,Ohio,39,124610,4165
2020-09-02,Ohio,39,125767,4176
2020-09-03,Ohio,39,127112,4226
2020-09-04,Ohio,39,128444,4248
2020-09-05,Ohio,39,129785,4256
2020-09-06,Ohio,39,130558,4259
2020-09-07,Ohio,39,131336,4276
2020-09-08,Ohio,39,131992,4298
2020-09-09,Ohio,39,132965,4324
2020-09-10,Ohio,39,134086,4354
2020-09-11,Ohio,39,135326,4403
2020-09-12,Ohio,39,136568,4411
2020-09-13,Ohio,39,137405,4415
2020-09-14,Ohio,39,138484,4419
2020-09-15,Ohio,39,139485,4506
2020-09-16,Ohio,39,140518,4555
2020-09-17,Ohio,39,141585,4580
2020-09-18,Ohio,39,142596,4608
2020-09-19,Ohio,39,143547,4612
2020-09-20,Ohio,39,144309,4615
2020-09-21,Ohio,39,145165,4623
2020-09-22,Ohio,39,145850,4635
2020-09-23,Ohio,39,146753,4687
2020-09-24,Ohio,39,147744,4715
2020-09-25,Ohio,39,148894,4734
2020-09-26,Ohio,39,150009,4740
2020-09-27,Ohio,39,150809,4741
2020-09-28,Ohio,39,151802,4746
2020-09-29,Ohio,39,152907,4783
2020-09-30,Ohio,39,153987,4804
2020-10-01,Ohio,39,155314,4817
2020-10-02,Ohio,39,156809,4905
2020-10-03,Ohio,39,157966,4925
2020-10-04,Ohio,39,158907,4925
2020-10-05,Ohio,39,159964,4931
2020-10-06,Ohio,39,161299,4947
2020-10-07,Ohio,39,162723,4970
2020-10-08,Ohio,39,164262,4983
2020-10-09,Ohio,39,166102,4994
2020-10-10,Ohio,39,167458,4997
2020-10-11,Ohio,39,168749,4999
2020-10-12,Ohio,39,170179,5005
2020-10-13,Ohio,39,171626,5017
2020-10-14,Ohio,39,173665,5033
2020-10-15,Ohio,39,175843,5038
2020-10-16,Ohio,39,177991,5054
2020-10-17,Ohio,39,180225,5067
2020-10-18,Ohio,39,181787,5067
2020-10-19,Ohio,39,183624,5075
2020-10-20,Ohio,39,185639,5083
2020-10-21,Ohio,39,188005,5149
2020-10-22,Ohio,39,190430,5161
2020-10-23,Ohio,39,192948,5184
2020-10-24,Ohio,39,195806,5206
2020-10-25,Ohio,39,198115,5206
2020-10-26,Ohio,39,200231,5217
2020-10-27,Ohio,39,202740,5239
2020-10-28,Ohio,39,205347,5256
2020-10-29,Ohio,39,208937,5275
2020-10-30,Ohio,39,212782,5291
2020-10-31,Ohio,39,215697,5301
2020-11-01,Ohio,39,219000,5303
2020-11-02,Ohio,39,221909,5340
2020-11-03,Ohio,39,226138,5373
2020-11-04,Ohio,39,230209,5428
2020-11-05,Ohio,39,235170,5461
2020-11-06,Ohio,39,240178,5494
2020-11-07,Ohio,39,245727,5506
2020-11-08,Ohio,39,250268,5517
2020-11-09,Ohio,39,254974,5524
2020-11-10,Ohio,39,261482,5547
2020-11-11,Ohio,39,267356,5623
2020-11-12,Ohio,39,274457,5658
2020-11-13,Ohio,39,282528,5700
2020-11-14,Ohio,39,290243,5714
2020-11-15,Ohio,39,298096,5722
2020-11-16,Ohio,39,305364,5742
2020-11-17,Ohio,39,312443,5772
2020-11-18,Ohio,39,318828,5827
2020-11-19,Ohio,39,326615,5890
2020-11-20,Ohio,39,335423,5955
2020-11-21,Ohio,39,343286,5984
2020-11-22,Ohio,39,351419,5996
2020-11-23,Ohio,39,363304,6020
2020-11-24,Ohio,39,371908,6118
2020-11-25,Ohio,39,382743,6274
2020-11-26,Ohio,39,382743,6274
2020-11-27,Ohio,39,399808,6346
2020-11-28,Ohio,39,406703,6378
2020-11-29,Ohio,39,414432,6399
2020-11-30,Ohio,39,421063,6429
2020-12-01,Ohio,39,430093,6548
2020-12-02,Ohio,39,437928,6671
