date,state,fips,cases,deaths
2020-02-29,Oregon,41,1,0
2020-03-01,Oregon,41,2,0
2020-03-02,Oregon,41,2,0
2020-03-03,Oregon,41,2,0
2020-03-04,Oregon,41,2,0
2020-03-05,Oregon,41,2,0
2020-03-06,Oregon,41,2,0
2020-03-07,Oregon,41,6,0
2020-03-08,Oregon,41,13,0
2020-03-09,Oregon,41,13,0
2020-03-10,Oregon,41,14,0
2020-03-11,Oregon,41,20,0
2020-03-12,Oregon,41,30,0
2020-03-13,Oregon,41,30,0
2020-03-14,Oregon,41,36,1
2020-03-15,Oregon,41,39,1
2020-03-16,Oregon,41,46,1
2020-03-17,Oregon,41,66,2
2020-03-18,Oregon,41,74,3
2020-03-19,Oregon,41,87,3
2020-03-20,Oregon,41,114,3
2020-03-21,Oregon,41,137,4
2020-03-22,Oregon,41,161,5
2020-03-23,Oregon,41,191,5
2020-03-24,Oregon,41,209,8
2020-03-25,Oregon,41,266,10
2020-03-26,Oregon,41,316,11
2020-03-27,Oregon,41,415,12
2020-03-28,Oregon,41,480,13
2020-03-29,Oregon,41,549,13
2020-03-30,Oregon,41,607,16
2020-03-31,Oregon,41,690,18
2020-04-01,Oregon,41,737,19
2020-04-02,Oregon,41,827,21
2020-04-03,Oregon,41,899,22
2020-04-04,Oregon,41,1000,26
2020-04-05,Oregon,41,1068,27
2020-04-06,Oregon,41,1132,29
2020-04-07,Oregon,41,1181,33
2020-04-08,Oregon,41,1239,38
2020-04-09,Oregon,41,1321,44
2020-04-10,Oregon,41,1371,48
2020-04-11,Oregon,41,1447,51
2020-04-12,Oregon,41,1527,52
2020-04-13,Oregon,41,1584,53
2020-04-14,Oregon,41,1633,55
2020-04-15,Oregon,41,1663,58
2020-04-16,Oregon,41,1736,64
2020-04-17,Oregon,41,1785,70
2020-04-18,Oregon,41,1844,72
2020-04-19,Oregon,41,1910,74
2020-04-20,Oregon,41,1956,75
2020-04-21,Oregon,41,2002,78
2020-04-22,Oregon,41,2059,78
2020-04-23,Oregon,41,2127,83
2020-04-24,Oregon,41,2177,86
2020-04-25,Oregon,41,2253,87
2020-04-26,Oregon,41,2311,91
2020-04-27,Oregon,41,2354,92
