date,state,fips,cases,deaths
2020-03-14,Puerto Rico,72,4,0
2020-03-15,Puerto Rico,72,5,0
2020-03-16,Puerto Rico,72,5,0
2020-03-17,Puerto Rico,72,5,0
2020-03-18,Puerto Rico,72,5,0
2020-03-19,Puerto Rico,72,6,0
2020-03-20,Puerto Rico,72,14,0
2020-03-21,Puerto Rico,72,21,1
2020-03-22,Puerto Rico,72,23,1
2020-03-23,Puerto Rico,72,31,2
2020-03-24,Puerto Rico,72,39,2
2020-03-25,Puerto Rico,72,51,2
2020-03-26,Puerto Rico,72,64,2
2020-03-27,Puerto Rico,72,79,3
2020-03-28,Puerto Rico,72,100,3
2020-03-29,Puerto Rico,72,127,5
2020-03-30,Puerto Rico,72,174,6
2020-03-31,Puerto Rico,72,239,8
2020-04-01,Puerto Rico,72,286,11
2020-04-02,Puerto Rico,72,316,12
2020-04-03,Puerto Rico,72,378,15
2020-04-04,Puerto Rico,72,452,18
2020-04-05,Puerto Rico,72,475,20
2020-04-06,Puerto Rico,72,513,21
2020-04-07,Puerto Rico,72,573,23
2020-04-08,Puerto Rico,72,620,24
2020-04-09,Puerto Rico,72,683,33
2020-04-10,Puerto Rico,72,725,39
2020-04-11,Puerto Rico,72,788,42
2020-04-12,Puerto Rico,72,897,44
2020-04-13,Puerto Rico,72,903,45
2020-04-14,Puerto Rico,72,923,45
2020-04-15,Puerto Rico,72,974,51
2020-04-16,Puerto Rico,72,1043,56
2020-04-17,Puerto Rico,72,1068,58
2020-04-18,Puerto Rico,72,1118,60
2020-04-19,Puerto Rico,72,1213,41
2020-04-20,Puerto Rico,72,1252,42
2020-04-21,Puerto Rico,72,915,43
2020-04-22,Puerto Rico,72,915,46
2020-04-23,Puerto Rico,72,1230,69
2020-04-24,Puerto Rico,72,1276,77
2020-04-25,Puerto Rico,72,1307,83
2020-04-26,Puerto Rico,72,1371,84
2020-04-27,Puerto Rico,72,1388,84
2020-04-28,Puerto Rico,72,1400,86
2020-04-29,Puerto Rico,72,1465,86
2020-04-30,Puerto Rico,72,1537,92
2020-05-01,Puerto Rico,72,1573,94
2020-05-02,Puerto Rico,72,1755,95
2020-05-03,Puerto Rico,72,1806,97
2020-05-04,Puerto Rico,72,1875,97
2020-05-05,Puerto Rico,72,1924,99
