date,state,fips,cases,deaths
2020-03-01,Rhode Island,44,2,0
2020-03-02,Rhode Island,44,2,0
2020-03-03,Rhode Island,44,2,0
2020-03-04,Rhode Island,44,2,0
2020-03-05,Rhode Island,44,2,0
2020-03-06,Rhode Island,44,3,0
2020-03-07,Rhode Island,44,3,0
2020-03-08,Rhode Island,44,3,0
2020-03-09,Rhode Island,44,3,0
2020-03-10,Rhode Island,44,5,0
2020-03-11,Rhode Island,44,5,0
2020-03-12,Rhode Island,44,5,0
2020-03-13,Rhode Island,44,20,0
2020-03-14,Rhode Island,44,20,0
2020-03-15,Rhode Island,44,20,0
2020-03-16,Rhode Island,44,21,0
2020-03-17,Rhode Island,44,23,0
2020-03-18,Rhode Island,44,33,0
2020-03-19,Rhode Island,44,44,0
2020-03-20,Rhode Island,44,44,0
2020-03-21,Rhode Island,44,66,0
2020-03-22,Rhode Island,44,83,0
2020-03-23,Rhode Island,44,106,0
2020-03-24,Rhode Island,44,124,0
2020-03-25,Rhode Island,44,132,0
2020-03-26,Rhode Island,44,165,0
2020-03-27,Rhode Island,44,203,0
2020-03-28,Rhode Island,44,239,2
2020-03-29,Rhode Island,44,294,3
2020-03-30,Rhode Island,44,408,4
2020-03-31,Rhode Island,44,488,8
2020-04-01,Rhode Island,44,566,10
2020-04-02,Rhode Island,44,657,12
2020-04-03,Rhode Island,44,711,14
2020-04-04,Rhode Island,44,806,17
2020-04-05,Rhode Island,44,922,25
2020-04-06,Rhode Island,44,1082,27
2020-04-07,Rhode Island,44,1229,30
2020-04-08,Rhode Island,44,1450,35
2020-04-09,Rhode Island,44,1727,43
2020-04-10,Rhode Island,44,2015,49
2020-04-11,Rhode Island,44,2349,56
2020-04-12,Rhode Island,44,2665,63
2020-04-13,Rhode Island,44,2976,73
2020-04-14,Rhode Island,44,3251,80
2020-04-15,Rhode Island,44,3529,87
2020-04-16,Rhode Island,44,3838,105
2020-04-17,Rhode Island,44,4177,118
2020-04-18,Rhode Island,44,4491,137
2020-04-19,Rhode Island,44,4706,150
2020-04-20,Rhode Island,44,5090,155
2020-04-21,Rhode Island,44,5500,171
2020-04-22,Rhode Island,44,5841,181
2020-04-23,Rhode Island,44,6256,189
2020-04-24,Rhode Island,44,6699,202
2020-04-25,Rhode Island,44,7129,215
2020-04-26,Rhode Island,44,7439,226
2020-04-27,Rhode Island,44,7708,233
2020-04-28,Rhode Island,44,7926,239
2020-04-29,Rhode Island,44,8247,251
2020-04-30,Rhode Island,44,8621,266
2020-05-01,Rhode Island,44,8962,279
2020-05-02,Rhode Island,44,9289,296
2020-05-03,Rhode Island,44,9477,320
2020-05-04,Rhode Island,44,9652,341
2020-05-05,Rhode Island,44,9933,355
2020-05-06,Rhode Island,44,10205,370
2020-05-07,Rhode Island,44,10530,388
2020-05-08,Rhode Island,44,10779,399
2020-05-09,Rhode Island,44,10989,418
2020-05-10,Rhode Island,44,11274,422
2020-05-11,Rhode Island,44,11450,430
2020-05-12,Rhode Island,44,11614,444
2020-05-13,Rhode Island,44,11835,462
2020-05-14,Rhode Island,44,12016,468
2020-05-15,Rhode Island,44,12219,479
2020-05-16,Rhode Island,44,12434,489
2020-05-17,Rhode Island,44,12674,499
2020-05-18,Rhode Island,44,12795,506
