date,state,fips,cases,deaths
2020-03-07,South Carolina,45,2,0
2020-03-08,South Carolina,45,6,0
2020-03-09,South Carolina,45,7,0
2020-03-10,South Carolina,45,9,0
2020-03-11,South Carolina,45,10,0
2020-03-12,South Carolina,45,12,0
2020-03-13,South Carolina,45,13,0
2020-03-14,South Carolina,45,19,0
2020-03-15,South Carolina,45,28,0
2020-03-16,South Carolina,45,33,1
2020-03-17,South Carolina,45,47,1
2020-03-18,South Carolina,45,60,1
2020-03-19,South Carolina,45,81,1
2020-03-20,South Carolina,45,126,3
2020-03-21,South Carolina,45,172,3
2020-03-22,South Carolina,45,194,3
2020-03-23,South Carolina,45,299,5
2020-03-24,South Carolina,45,342,8
2020-03-25,South Carolina,45,425,8
2020-03-26,South Carolina,45,456,9
2020-03-27,South Carolina,45,542,13
2020-03-28,South Carolina,45,661,15
2020-03-29,South Carolina,45,775,16
2020-03-30,South Carolina,45,925,18
2020-03-31,South Carolina,45,1083,22
2020-04-01,South Carolina,45,1293,26
2020-04-02,South Carolina,45,1554,31
2020-04-03,South Carolina,45,1700,34
2020-04-04,South Carolina,45,1917,40
2020-04-05,South Carolina,45,2049,44
2020-04-06,South Carolina,45,2232,48
2020-04-07,South Carolina,45,2417,51
2020-04-08,South Carolina,45,2552,63
2020-04-09,South Carolina,45,2792,67
2020-04-10,South Carolina,45,3065,72
2020-04-11,South Carolina,45,3207,80
2020-04-12,South Carolina,45,3319,82
2020-04-13,South Carolina,45,3439,87
2020-04-14,South Carolina,45,3553,97
2020-04-15,South Carolina,45,3656,107
2020-04-16,South Carolina,45,3931,109
2020-04-17,South Carolina,45,4086,116
2020-04-18,South Carolina,45,4246,119
2020-04-19,South Carolina,45,4377,120
2020-04-20,South Carolina,45,4439,124
2020-04-21,South Carolina,45,4608,135
2020-04-22,South Carolina,45,4761,140
2020-04-23,South Carolina,45,4917,150
2020-04-24,South Carolina,45,5070,157
2020-04-25,South Carolina,45,5253,166
2020-04-26,South Carolina,45,5490,174
2020-04-27,South Carolina,45,5613,177
2020-04-28,South Carolina,45,5735,192
2020-04-29,South Carolina,45,5881,232
2020-04-30,South Carolina,45,6095,244
2020-05-01,South Carolina,45,6258,256
2020-05-02,South Carolina,45,6489,267
2020-05-03,South Carolina,45,6626,275
2020-05-04,South Carolina,45,6757,283
2020-05-05,South Carolina,45,6841,296
2020-05-06,South Carolina,45,6936,305
2020-05-07,South Carolina,45,7142,316
2020-05-08,South Carolina,45,7367,320
2020-05-09,South Carolina,45,7531,330
2020-05-10,South Carolina,45,7653,331
2020-05-11,South Carolina,45,7792,346
2020-05-12,South Carolina,45,7927,355
2020-05-13,South Carolina,45,8030,362
2020-05-14,South Carolina,45,8189,371
2020-05-15,South Carolina,45,8407,380
2020-05-16,South Carolina,45,8661,380
2020-05-17,South Carolina,45,8816,385
2020-05-18,South Carolina,45,8942,391
2020-05-19,South Carolina,45,9056,399
2020-05-20,South Carolina,45,9175,407
2020-05-21,South Carolina,45,9379,416
2020-05-22,South Carolina,45,9638,419
2020-05-23,South Carolina,45,9895,425
2020-05-24,South Carolina,45,10096,435
2020-05-25,South Carolina,45,10178,440
2020-05-26,South Carolina,45,10416,446
2020-05-27,South Carolina,45,10623,466
2020-05-28,South Carolina,45,10788,470
2020-05-29,South Carolina,45,11131,483
2020-05-30,South Carolina,45,11394,487
2020-05-31,South Carolina,45,11861,494
2020-06-01,South Carolina,45,12148,500
2020-06-02,South Carolina,45,12415,501
2020-06-03,South Carolina,45,12651,518
2020-06-04,South Carolina,45,13005,525
2020-06-05,South Carolina,45,13453,538
