date,state,fips,cases,deaths
2020-03-08,Virginia,51,2,0
2020-03-09,Virginia,51,5,0
2020-03-10,Virginia,51,8,0
2020-03-11,Virginia,51,10,0
2020-03-12,Virginia,51,17,0
2020-03-13,Virginia,51,30,0
2020-03-14,Virginia,51,42,1
2020-03-15,Virginia,51,45,1
2020-03-16,Virginia,51,51,1
2020-03-17,Virginia,51,67,2
2020-03-18,Virginia,51,78,2
2020-03-19,Virginia,51,94,2
2020-03-20,Virginia,51,115,2
2020-03-21,Virginia,51,152,3
2020-03-22,Virginia,51,219,6
2020-03-23,Virginia,51,254,6
2020-03-24,Virginia,51,291,7
2020-03-25,Virginia,51,390,9
2020-03-26,Virginia,51,603,14
2020-03-27,Virginia,51,605,14
2020-03-28,Virginia,51,739,17
2020-03-29,Virginia,51,889,22
2020-03-30,Virginia,51,1020,26
2020-03-31,Virginia,51,1249,27
2020-04-01,Virginia,51,1511,18
2020-04-02,Virginia,51,1706,18
2020-04-03,Virginia,51,2011,46
2020-04-04,Virginia,51,2408,52
2020-04-05,Virginia,51,2636,52
2020-04-06,Virginia,51,2877,54
2020-04-07,Virginia,51,3332,69
2020-04-08,Virginia,51,3644,60
2020-04-09,Virginia,51,4041,109
2020-04-10,Virginia,51,4509,121
2020-04-11,Virginia,51,5076,130
2020-04-12,Virginia,51,5273,141
2020-04-13,Virginia,51,5746,149
2020-04-14,Virginia,51,6173,154
2020-04-15,Virginia,51,6502,195
2020-04-16,Virginia,51,6891,208
2020-04-17,Virginia,51,7492,238
2020-04-18,Virginia,51,8053,258
2020-04-19,Virginia,51,8536,277
2020-04-20,Virginia,51,8989,300
2020-04-21,Virginia,51,9629,325
2020-04-22,Virginia,51,10265,349
2020-04-23,Virginia,51,10999,375
2020-04-24,Virginia,51,11595,413
2020-04-25,Virginia,51,12365,436
2020-04-26,Virginia,51,12969,448
2020-04-27,Virginia,51,13534,458
2020-04-28,Virginia,51,14338,492
2020-04-29,Virginia,51,14961,522
2020-04-30,Virginia,51,15846,552
2020-05-01,Virginia,51,16901,581
2020-05-02,Virginia,51,17731,616
2020-05-03,Virginia,51,18671,660
2020-05-04,Virginia,51,19492,684
2020-05-05,Virginia,51,20256,713
2020-05-06,Virginia,51,20256,713
2020-05-07,Virginia,51,21570,769
2020-05-08,Virginia,51,22342,812
2020-05-09,Virginia,51,23196,827
2020-05-10,Virginia,51,24081,839
2020-05-11,Virginia,51,25070,850
2020-05-12,Virginia,51,25800,891
2020-05-13,Virginia,51,26746,927
2020-05-14,Virginia,51,27813,955
2020-05-15,Virginia,51,28672,977
2020-05-16,Virginia,51,29683,1002
2020-05-17,Virginia,51,30388,1009
2020-05-18,Virginia,51,31140,1014
2020-05-19,Virginia,51,32145,1041
2020-05-20,Virginia,51,32908,1074
