date,state,fips,cases,deaths
2020-03-17,West Virginia,54,1,0
2020-03-18,West Virginia,54,2,0
2020-03-19,West Virginia,54,5,0
2020-03-20,West Virginia,54,8,0
2020-03-21,West Virginia,54,12,0
2020-03-22,West Virginia,54,16,0
2020-03-23,West Virginia,54,16,0
2020-03-24,West Virginia,54,39,0
2020-03-25,West Virginia,54,51,0
2020-03-26,West Virginia,54,76,0
2020-03-27,West Virginia,54,96,0
2020-03-28,West Virginia,54,113,0
2020-03-29,West Virginia,54,124,1
2020-03-30,West Virginia,54,145,1
2020-03-31,West Virginia,54,162,1
2020-04-01,West Virginia,54,191,2
2020-04-02,West Virginia,54,217,2
2020-04-03,West Virginia,54,242,2
2020-04-04,West Virginia,54,282,2
2020-04-05,West Virginia,54,325,3
2020-04-06,West Virginia,54,347,4
2020-04-07,West Virginia,54,413,4
2020-04-08,West Virginia,54,483,4
2020-04-09,West Virginia,54,524,5
2020-04-10,West Virginia,54,537,5
2020-04-11,West Virginia,54,593,6
2020-04-12,West Virginia,54,615,8
2020-04-13,West Virginia,54,638,9
2020-04-14,West Virginia,54,697,10
2020-04-15,West Virginia,54,725,12
2020-04-16,West Virginia,54,739,13
2020-04-17,West Virginia,54,776,16
2020-04-18,West Virginia,54,825,18
2020-04-19,West Virginia,54,890,20
2020-04-20,West Virginia,54,908,26
2020-04-21,West Virginia,54,929,26
2020-04-22,West Virginia,54,939,29
2020-04-23,West Virginia,54,981,31
2020-04-24,West Virginia,54,1010,32
2020-04-25,West Virginia,54,1025,33
2020-04-26,West Virginia,54,1054,34
2020-04-27,West Virginia,54,1078,37
2020-04-28,West Virginia,54,1096,38
2020-04-29,West Virginia,54,1110,40
2020-04-30,West Virginia,54,1126,44
2020-05-01,West Virginia,54,1152,47
2020-05-02,West Virginia,54,1185,50
2020-05-03,West Virginia,54,1196,50
2020-05-04,West Virginia,54,1225,50
2020-05-05,West Virginia,54,1243,50
2020-05-06,West Virginia,54,1277,51
2020-05-07,West Virginia,54,1298,51
2020-05-08,West Virginia,54,1324,52
2020-05-09,West Virginia,54,1348,53
2020-05-10,West Virginia,54,1363,54
2020-05-11,West Virginia,54,1370,57
2020-05-12,West Virginia,54,1379,58
2020-05-13,West Virginia,54,1405,59
2020-05-14,West Virginia,54,1435,62
2020-05-15,West Virginia,54,1448,64
2020-05-16,West Virginia,54,1470,65
2020-05-17,West Virginia,54,1492,67
2020-05-18,West Virginia,54,1502,68
2020-05-19,West Virginia,54,1514,68
2020-05-20,West Virginia,54,1567,69
2020-05-21,West Virginia,54,1603,71
2020-05-22,West Virginia,54,1705,72
2020-05-23,West Virginia,54,1729,72
2020-05-24,West Virginia,54,1771,72
2020-05-25,West Virginia,54,1782,73
2020-05-26,West Virginia,54,1854,74
2020-05-27,West Virginia,54,1899,74
2020-05-28,West Virginia,54,1935,74
2020-05-29,West Virginia,54,1972,74
2020-05-30,West Virginia,54,1989,75
2020-05-31,West Virginia,54,2010,75
2020-06-01,West Virginia,54,2028,76
2020-06-02,West Virginia,54,2056,78
2020-06-03,West Virginia,54,2077,78
2020-06-04,West Virginia,54,2102,79
2020-06-05,West Virginia,54,2119,84
2020-06-06,West Virginia,54,2136,84
2020-06-07,West Virginia,54,2144,84
2020-06-08,West Virginia,54,2161,84
2020-06-09,West Virginia,54,2179,84
2020-06-10,West Virginia,54,2193,85
2020-06-11,West Virginia,54,2217,86
2020-06-12,West Virginia,54,2249,88
2020-06-13,West Virginia,54,2274,88
2020-06-14,West Virginia,54,2290,88
2020-06-15,West Virginia,54,2322,88
2020-06-16,West Virginia,54,2341,88
2020-06-17,West Virginia,54,2376,88
2020-06-18,West Virginia,54,2418,88
2020-06-19,West Virginia,54,2468,88
2020-06-20,West Virginia,54,2500,88
2020-06-21,West Virginia,54,2543,89
2020-06-22,West Virginia,54,2571,90
2020-06-23,West Virginia,54,2593,92
2020-06-24,West Virginia,54,2629,92
2020-06-25,West Virginia,54,2693,92
2020-06-26,West Virginia,54,2729,92
2020-06-27,West Virginia,54,2781,93
2020-06-28,West Virginia,54,2831,93
2020-06-29,West Virginia,54,2869,93
2020-06-30,West Virginia,54,2904,93
2020-07-01,West Virginia,54,2979,93
2020-07-02,West Virginia,54,3053,93
2020-07-03,West Virginia,54,3126,93
2020-07-04,West Virginia,54,3205,94
2020-07-05,West Virginia,54,3335,95
2020-07-06,West Virginia,54,3442,95
2020-07-07,West Virginia,54,3505,95
2020-07-08,West Virginia,54,3707,95
2020-07-09,West Virginia,54,3826,95
2020-07-10,West Virginia,54,3983,95
2020-07-11,West Virginia,54,4146,96
