date,state,fips,cases,deaths
2020-02-06,Wisconsin,55,1,0
2020-02-07,Wisconsin,55,1,0
2020-02-08,Wisconsin,55,1,0
2020-02-09,Wisconsin,55,1,0
2020-02-10,Wisconsin,55,1,0
2020-02-11,Wisconsin,55,1,0
2020-02-12,Wisconsin,55,1,0
2020-02-13,Wisconsin,55,1,0
2020-02-14,Wisconsin,55,1,0
2020-02-15,Wisconsin,55,1,0
2020-02-16,Wisconsin,55,1,0
2020-02-17,Wisconsin,55,1,0
2020-02-18,Wisconsin,55,1,0
2020-02-19,Wisconsin,55,1,0
2020-02-20,Wisconsin,55,1,0
2020-02-21,Wisconsin,55,1,0
2020-02-22,Wisconsin,55,1,0
2020-02-23,Wisconsin,55,1,0
2020-02-24,Wisconsin,55,1,0
2020-02-25,Wisconsin,55,1,0
2020-02-26,Wisconsin,55,1,0
2020-02-27,Wisconsin,55,1,0
2020-02-28,Wisconsin,55,1,0
2020-02-29,Wisconsin,55,1,0
2020-03-01,Wisconsin,55,1,0
2020-03-02,Wisconsin,55,1,0
2020-03-03,Wisconsin,55,1,0
2020-03-04,Wisconsin,55,1,0
2020-03-05,Wisconsin,55,1,0
2020-03-06,Wisconsin,55,1,0
2020-03-07,Wisconsin,55,1,0
2020-03-08,Wisconsin,55,1,0
2020-03-09,Wisconsin,55,2,0
2020-03-10,Wisconsin,55,3,0
2020-03-11,Wisconsin,55,6,0
2020-03-12,Wisconsin,55,8,0
2020-03-13,Wisconsin,55,19,0
2020-03-14,Wisconsin,55,27,0
2020-03-15,Wisconsin,55,33,0
2020-03-16,Wisconsin,55,47,0
2020-03-17,Wisconsin,55,72,0
2020-03-18,Wisconsin,55,106,0
2020-03-19,Wisconsin,55,155,2
2020-03-20,Wisconsin,55,216,3
2020-03-21,Wisconsin,55,281,4
2020-03-22,Wisconsin,55,382,4
2020-03-23,Wisconsin,55,418,5
2020-03-24,Wisconsin,55,481,5
2020-03-25,Wisconsin,55,623,7
2020-03-26,Wisconsin,55,754,10
2020-03-27,Wisconsin,55,930,16
2020-03-28,Wisconsin,55,1042,17
2020-03-29,Wisconsin,55,1120,17
2020-03-30,Wisconsin,55,1269,20
2020-03-31,Wisconsin,55,1351,25
2020-04-01,Wisconsin,55,1552,33
2020-04-02,Wisconsin,55,1730,37
2020-04-03,Wisconsin,55,1916,50
2020-04-04,Wisconsin,55,2112,60
2020-04-05,Wisconsin,55,2267,73
2020-04-06,Wisconsin,55,2440,83
2020-04-07,Wisconsin,55,2578,94
2020-04-08,Wisconsin,55,2756,107
2020-04-09,Wisconsin,55,2885,116
2020-04-10,Wisconsin,55,3068,131
2020-04-11,Wisconsin,55,3213,141
2020-04-12,Wisconsin,55,3341,145
2020-04-13,Wisconsin,55,3428,155
2020-04-14,Wisconsin,55,3555,172
2020-04-15,Wisconsin,55,3721,184
2020-04-16,Wisconsin,55,3875,197
2020-04-17,Wisconsin,55,4045,205
2020-04-18,Wisconsin,55,4199,212
2020-04-19,Wisconsin,55,4346,222
2020-04-20,Wisconsin,55,4564,231
2020-04-21,Wisconsin,55,4691,243
2020-04-22,Wisconsin,55,4915,247
2020-04-23,Wisconsin,55,5125,257
2020-04-24,Wisconsin,55,5431,262
2020-04-25,Wisconsin,55,5762,266
2020-04-26,Wisconsin,55,5986,274
2020-04-27,Wisconsin,55,6164,281
2020-04-28,Wisconsin,55,6389,300
2020-04-29,Wisconsin,55,6621,308
2020-04-30,Wisconsin,55,6973,316
2020-05-01,Wisconsin,55,7439,327
2020-05-02,Wisconsin,55,7785,334
2020-05-03,Wisconsin,55,8089,339
2020-05-04,Wisconsin,55,8362,340
2020-05-05,Wisconsin,55,8696,353
2020-05-06,Wisconsin,55,9052,362
2020-05-07,Wisconsin,55,9369,374
2020-05-08,Wisconsin,55,9750,384
2020-05-09,Wisconsin,55,10099,398
2020-05-10,Wisconsin,55,10379,400
2020-05-11,Wisconsin,55,10581,409
2020-05-12,Wisconsin,55,10781,418
2020-05-13,Wisconsin,55,11071,421
2020-05-14,Wisconsin,55,11449,434
2020-05-15,Wisconsin,55,12037,445
2020-05-16,Wisconsin,55,12551,453
2020-05-17,Wisconsin,55,12754,453
2020-05-18,Wisconsin,55,12912,459
2020-05-19,Wisconsin,55,13200,467
2020-05-20,Wisconsin,55,13779,481
2020-05-21,Wisconsin,55,14172,487
2020-05-22,Wisconsin,55,14768,496
2020-05-23,Wisconsin,55,15196,507
2020-05-24,Wisconsin,55,15573,510
2020-05-25,Wisconsin,55,15857,514
2020-05-26,Wisconsin,55,16141,517
2020-05-27,Wisconsin,55,16786,539
2020-05-28,Wisconsin,55,17476,550
2020-05-29,Wisconsin,55,18050,569
2020-05-30,Wisconsin,55,18515,588
2020-05-31,Wisconsin,55,18684,594
2020-06-01,Wisconsin,55,18825,597
2020-06-02,Wisconsin,55,19223,610
2020-06-03,Wisconsin,55,19896,618
2020-06-04,Wisconsin,55,20359,627
2020-06-05,Wisconsin,55,20723,634
2020-06-06,Wisconsin,55,20997,646
2020-06-07,Wisconsin,55,21246,648
2020-06-08,Wisconsin,55,21463,650
2020-06-09,Wisconsin,55,21738,662
2020-06-10,Wisconsin,55,24091,679
2020-06-11,Wisconsin,55,24411,691
