date,state,fips,cases,deaths
2020-03-11,Wyoming,56,1,0
2020-03-12,Wyoming,56,1,0
2020-03-13,Wyoming,56,2,0
2020-03-14,Wyoming,56,3,0
2020-03-15,Wyoming,56,3,0
2020-03-16,Wyoming,56,10,0
2020-03-17,Wyoming,56,15,0
2020-03-18,Wyoming,56,17,0
2020-03-19,Wyoming,56,18,0
2020-03-20,Wyoming,56,22,0
2020-03-21,Wyoming,56,24,0
2020-03-22,Wyoming,56,26,0
2020-03-23,Wyoming,56,28,0
2020-03-24,Wyoming,56,37,0
2020-03-25,Wyoming,56,49,0
2020-03-26,Wyoming,56,56,0
2020-03-27,Wyoming,56,74,0
2020-03-28,Wyoming,56,85,0
2020-03-29,Wyoming,56,88,0
2020-03-30,Wyoming,56,96,0
2020-03-31,Wyoming,56,121,0
2020-04-01,Wyoming,56,138,0
2020-04-02,Wyoming,56,154,0
2020-04-03,Wyoming,56,167,0
2020-04-04,Wyoming,56,189,0
2020-04-05,Wyoming,56,200,0
2020-04-06,Wyoming,56,213,0
2020-04-07,Wyoming,56,221,0
2020-04-08,Wyoming,56,230,0
2020-04-09,Wyoming,56,303,0
2020-04-10,Wyoming,56,320,0
2020-04-11,Wyoming,56,343,0
2020-04-12,Wyoming,56,364,0
2020-04-13,Wyoming,56,373,1
2020-04-14,Wyoming,56,373,1
2020-04-15,Wyoming,56,392,2
2020-04-16,Wyoming,56,393,2
2020-04-17,Wyoming,56,401,2
2020-04-18,Wyoming,56,412,2
2020-04-19,Wyoming,56,422,2
2020-04-20,Wyoming,56,426,2
2020-04-21,Wyoming,56,442,6
2020-04-22,Wyoming,56,447,6
2020-04-23,Wyoming,56,453,7
2020-04-24,Wyoming,56,473,7
2020-04-25,Wyoming,56,477,7
2020-04-26,Wyoming,56,502,7
2020-04-27,Wyoming,56,520,7
2020-04-28,Wyoming,56,536,7
2020-04-29,Wyoming,56,544,7
2020-04-30,Wyoming,56,559,7
2020-05-01,Wyoming,56,566,7
2020-05-02,Wyoming,56,579,7
2020-05-03,Wyoming,56,586,7
2020-05-04,Wyoming,56,596,7
2020-05-05,Wyoming,56,604,7
2020-05-06,Wyoming,56,631,7
2020-05-07,Wyoming,56,635,7
2020-05-08,Wyoming,56,644,7
2020-05-09,Wyoming,56,653,7
2020-05-10,Wyoming,56,662,7
2020-05-11,Wyoming,56,669,7
2020-05-12,Wyoming,56,675,7
2020-05-13,Wyoming,56,688,7
2020-05-14,Wyoming,56,701,7
2020-05-15,Wyoming,56,716,7
2020-05-16,Wyoming,56,741,7
2020-05-17,Wyoming,56,754,8
2020-05-18,Wyoming,56,766,10
2020-05-19,Wyoming,56,776,10
2020-05-20,Wyoming,56,787,11
2020-05-21,Wyoming,56,801,12
2020-05-22,Wyoming,56,803,12
2020-05-23,Wyoming,56,813,12
2020-05-24,Wyoming,56,813,12
2020-05-25,Wyoming,56,843,12
2020-05-26,Wyoming,56,850,13
2020-05-27,Wyoming,56,860,14
2020-05-28,Wyoming,56,876,15
2020-05-29,Wyoming,56,891,15
2020-05-30,Wyoming,56,898,16
2020-05-31,Wyoming,56,903,16
2020-06-01,Wyoming,56,910,17
2020-06-02,Wyoming,56,912,17
2020-06-03,Wyoming,56,915,17
2020-06-04,Wyoming,56,921,17
2020-06-05,Wyoming,56,933,17
2020-06-06,Wyoming,56,939,17
2020-06-07,Wyoming,56,947,17
2020-06-08,Wyoming,56,960,17
